Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,
Eclipse (Main Stage),,,,,Aurora (Tent Stage),,,,,Afterglow (Dome),,,,,Polaris (Food Hall),,,,,Cosmic Connection (Wellness),,,,,Sacred Fire,,,,,Röstin (Film Premieres),,,,,Campsite Yoga,,,,,Starseeds (Kids & Family),,,,,All Stages,,,
SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST
,,,,,ATu1,Dance,22:00 - 23:00,Thorgerdur,,,,,,,,,,,,CTu1,Cosmic Space,20:00 - 21:45,Unify (Pending),,,,,,,,,,,,YTu1,Cosmic Space,09:00 - 10:30,Jasmine Rose,,,,,,,,,,
,,,,,ATu2,Dance,21:00 - 22:00,Björn Salvador,,,,,,,,,,,,CTu2,Dance,18:00 - 20:00,AWARË,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATu3,Dance,20:00 - 21:00,Turbo Amore,,,,,,,,,,,,CTu3,Inner Space,17:00 - 17:50,OPEN CEREMONY,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,,,Wednesday 12 August,,,
Eclipse (Main Stage),,,,,Aurora (Tent Stage),,,,,Afterglow (Dome),,,,,Polaris (Food Hall),,,,,Cosmic Connection (Wellness),,,,,Sacred Fire,,,,,Röstin (Film Premieres),,,,,Campsite Yoga,,,,,Starseeds (Kids & Family),,,,,All Stages,,,
SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST,,SLOT,TYPE,TIMES,ARTIST
EW1,Dance,22:45 - 00:15,Maribou State,,AW1,Dance,00:00 - 02:00,Captain Hook,,GW1,Dance,00:00 - 02:00,Agzilla,,PW1,Community Space,23:45 - 01:15,David Heilbroner - Totality  Film Screening,,CW1,Dance,17:45 - 19:15,Poranguí,,SW1,Cosmic Space,23:00 - 00:00,Dr. Haraldur Erlendsson - Invoking the sacred dwarfs that assist in the making of noble men,,,,,,,YW1,Cosmic Space,09:00 - 10:30,Óli Björn Karlsson - Yoga,,,,,,,XW1,,18:00 - 19:00,Partial Eclipse Ends - Third contact
EW2,Dance,20:45 - 22:15,Booka Shade (Live),,AW2,Dance,23:00 - 00:00,Suduaya,,GW2,Dance,23:00 - 00:00,REW,,PW2,Community Space,23:15 - 23:40,Tristan Baylis - Sound for film: Totality,,CW2,Cosmic Space,16:30 - 17:45,ECLIPSE Ceremony,,SW2,Dance,21:00 - 23:00,"Gathering of the Tribes: Prayers, Songs and Stories from Traditions Around the World (Curawaka, Ayla Schafer, Tao Txana, Winter Jendayi, Rojelio Carrillo Carrillo, Nana Marina Cruz)",,,,,,,YW2,Cosmic Space,08:00 - 09:00,Atma Silvia Bök - Morning Meditation,,,,,,,XW2,,17:45 - 18:00,Totality - Second contact
EW3,Dance,19:25 - 20:25,Emilíana Torrini,,AW3,Dance,22:00 - 23:00,Bloomurian ft. Saoirse Watters,,GW3,Dance,22:00 - 23:00,Orang Volante,,PW3,Dance,22:00 - 23:00,Him Gone Ape - Him Gone Watts,,CW3,Cosmic Space,15:45 - 16:30,ECLIPSE Ceremony - Begins Seating,,SW3,Cosmic Space,20:00 - 21:00,Heimir Logi - Lighting of the Fire,,,,,,,,,,,,,,,,,XW3,,16:45 - 17:45,Partial Eclipse Begins - First contact
EW4,Dance,18:05 - 19:05,Ásgeir,,AW4,Dance,21:00 - 22:00,Dhamika,,GW4,Dance,21:00 - 22:00,DJ Brownie,,PW4,Community Space,20:45 - 21:35,Brent Pella - Comedy Amidst the Chaos,,CW4,Cosmic Space,13:30 - 14:30,Tinna María - Sacred Heart Soundjourney,,,,,,,,,,,,,,,,,,,,,,,,,
EW5,Dance,16:35 - 17:35,Högni,,AW5,Dance,19:30 - 21:00,Eduardo Castillo Presents 'The Overview Effect' - presents 'The Overview Effect',,GW5,Dance,20:00 - 21:00,Luana Schwengber,,PW5,Outer Space,20:00 - 20:25,"Jason Achilles - Rovers, Rockets & Rock N' Roll",,CW5,Cosmic Space,12:45 - 13:30,"Icelandic Nature Connection & Sound Healing (Kim Booth, Johanna Maggy)",,,,,,,,,,,,,,,,,,,,,,,,,
EW6,Dance,15:20 - 16:20,Ayla Schafer,,AW6,Dance,18:30 - 19:30,Test Shot Starfish,,GW6,Dance,19:00 - 20:00,Allen Hulsey,,PW6,Community Space,19:30 - 19:55,Amaresh Kollipara - Galactic Consciousness: How searching for aliens catalyzes human connectivity.,,CW6,Cosmic Space,12:00 - 12:45,Shen Tong  沈彤 - Pre-Eclipse Prep,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AW7,Outer Space,16:00 - 16:25,Ron Garan - The Orbital Perspective,,GW7,Dance,15:30 - 16:30,Sofiah Thom - Temple Body Activation,,PW7,Community Space,19:00 - 19:25,Roz Dimon - Be the Light,,CW7,Cosmic Space,11:15 - 12:00,"Jackie Knechtel - Entering the Living Field: Group Coherence, Flow, and the Intelligence of the Heart",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AW8,Outer Space,15:30 - 15:55,Dr. Sian Proctor - Earthlight World,,GW8,Inner Space,14:30 - 15:20,Alex Grey & Allyson Grey - Creativity as a Spiritual Practice,,PW8,Community Space,15:45 - 16:30,Ezra Bookman - Holy Shift: An Irreverent Ritual to Prepare for the Eclipse,,CW8,Cosmic Space,10:00 - 11:00,Unify (Pending),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AW9,Outer Space,15:00 - 15:25,Christopher Huie - You: On the Other Side of the Sky,,GW9,Inner Space,14:00 - 14:25,Jason Silva - Films on Feelings,,PW9,Community Space,15:15 - 15:40,"Eclipse Chaser Panel (Stephen Brooks, Mo Majumdar, Safiyah Majumdar, Julie Majumdar, Dr. Dream)",,CW9,Cosmic Space,08:00 - 09:45,Unify (Pending),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AW10,Outer Space,14:30 - 14:55,Lóránt Czárán - The United Nations and Space Technologies in Support of Sustainable Development,,GW10,Inner Space,13:00 - 13:50,Carl Hayden Smith - The Museum of Consciousness,,PW10,Community Space,14:45 - 15:10,Darren Aronofsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,AW11,Outer Space,13:45 - 14:10,Roberto Carlino - POV: Totality Two Minutes That Took 4.6 Billion Years,,GW11,Inner Space,12:30 - 12:55,Cyberdelic Nexus,,PW11,Community Space,14:00 - 14:25,Christopher Breedlove - Living Ritual: Reconnecting ourselves for uncertain futures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
